TIME,RPM,TPS,Ponto_de_ignição,MAP,Posição_do_acelerador,Sonda_Geral,Alvo_do_malha_fechada,Sonda_Malha_Fechada,Correção_do_malha_fechada,2-step,Largada_validada,Marcha,Vazão_da_bancada_A,Fluxo_total_de_combustível,Ângulo_da_Fase_de_Injeção,Pressão_diferencial_de_combustível,Abertura_bicos_A,Tempo_de_Injeção_Banco_A,Temp._do_motor,Temp._do_Ar,Tensão_da_Bateria,Dwell_de_ignição,Eletroventilador_1_-_Enriquecimento,Pressão_de_Óleo,Pressão_de_Combustível,Nível_de_combustível,Partida_do_motor,Lenta,Primeiro_pulso_de_partida,Corte_-_Limitador_de_Rotação,Sinal_de_sincronia_do_motor,Corte_na_desaceleração_(cutoff),Injeção_rápida_e_de_decaimento,Consumo_total,Consumo_medio,Consumo_instantâneo,Potência_estimada,Torque_estimado,Distância_total,Autonomia,Ajuste_ativo,Eletroventilador_1,Bomba_Combustível,Velocidade_de_tração,Velocidade_de_referência,Controle_de_tração_-_Slip,Controle_de_tração_-_Slip_rate,Delta_TPS,2-step_-_Botão,Injeção_rápida,Injeção_de_decaimento,Cutoff_de_injeção,Blip/Punta_taco,Controle_de_lenta,Injeção_pós_partida
0.010,0,0.0,0.00,-0.08,0.0,0.679,0.000,0.678,0.00,OFF,OFF,0,0.0,0.0,0.00,2.01,0.00,0.000,76.8,34.3,12.97,2.80,0.0,0.00,1.93,0.0,OFF,OFF,OFF,0,OFF,OFF,0.000,23.32,0.1,0.0,0,0,3.5,0.0,1,OFF,OFF,0.0,0.0,0.0,0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF
0.050,0,0.0,0.00,-0.08,0.0,0.678,0.000,0.679,0.00,OFF,OFF,0,0.0,0.0,0.00,2.00,0.00,0.000,76.8,34.3,12.98,2.80,0.0,0.00,1.93,0.0,OFF,OFF,OFF,0,OFF,OFF,0.000,23.32,0.1,0.0,0,0,3.5,0.0,1,OFF,OFF,0.0,0.0,0.0,0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF
0.090,0,0.0,0.00,-0.08,0.0,0.677,0.000,0.678,0.00,OFF,OFF,0,0.0,0.0,0.00,2.00,0.00,0.000,76.8,34.3,12.98,2.80,0.0,0.00,1.92,0.0,OFF,OFF,OFF,0,OFF,OFF,0.000,23.32,0.1,0.0,0,0,3.5,0.0,1,OFF,OFF,0.0,0.0,0.0,0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF
0.130,0,0.0,0.00,-0.08,0.0,0.679,0.000,0.679,0.00,OFF,OFF,0,0.0,0.0,0.00,2.01,0.00,0.000,76.8,34.3,12.98,2.80,0.0,0.00,1.93,0.0,OFF,OFF,OFF,0,OFF,OFF,0.000,23.32,0.1,0.0,0,0,3.5,0.0,1,OFF,OFF,0.0,0.0,0.0,0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF
0.170,0,0.0,0.00,-0.08,0.0,0.677,0.000,0.678,0.00,OFF,OFF,0,0.0,0.0,0.00,2.00,0.00,0.000,76.8,34.3,12.97,2.80,0.0,0.00,1.93,0.0,OFF,OFF,OFF,0,OFF,OFF,0.000,23.32,0.1,0.0,0,0,3.5,0.0,1,OFF,OFF,0.0,0.0,0.0,0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF
0.210,0,0.0,0.00,-0.08,0.0,0.677,0.000,0.677,0.00,OFF,OFF,0,0.0,0.0,0.00,2.00,0.00,0.000,76.8,34.3,12.97,2.80,0.0,0.00,1.92,0.0,OFF,OFF,OFF,0,OFF,OFF,0.000,23.32,0.1,0.0,0,0,3.5,0.0,1,OFF,OFF,0.0,0.0,0.0,0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF
0.250,0,0.0,0.00,-0.08,0.0,0.678,0.000,0.679,0.00,OFF,OFF,0,0.0,0.0,0.00,2.00,0.00,0.000,76.8,34.3,12.97,2.80,0.0,0.00,1.92,0.0,OFF,OFF,OFF,0,OFF,OFF,0.000,23.32,0.1,0.0,0,0,3.5,0.0,1,OFF,OFF,0.0,0.0,0.0,0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF
0.290,0,0.0,0.00,-0.08,0.0,0.677,0.000,0.678,0.00,OFF,OFF,0,0.0,0.0,0.00,2.00,0.00,0.000,76.8,34.3,12.97,2.80,0.0,0.00,1.92,0.0,OFF,OFF,OFF,0,OFF,OFF,0.000,23.32,0.1,0.0,0,0,3.5,0.0,1,OFF,OFF,0.0,0.0,0.0,0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF
0.330,0,0.0,0.00,-0.08,0.0,0.679,0.000,0.678,0.00,OFF,OFF,0,0.0,0.0,0.00,2.00,0.00,0.000,76.8,34.3,12.96,2.80,0.0,0.00,1.92,0.0,OFF,OFF,OFF,0,OFF,OFF,0.000,23.32,0.1,0.0,0,0,3.5,0.0,1,OFF,OFF,0.0,0.0,0.0,0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF
0.370,0,0.0,0.00,-0.08,0.0,0.677,0.000,0.678,0.00,OFF,OFF,0,0.0,0.0,0.00,2.00,0.00,0.000,76.8,34.3,12.96,2.80,0.0,0.00,1.92,0.0,OFF,OFF,OFF,0,OFF,OFF,0.000,23.32,0.1,0.0,0,0,3.5,0.0,1,OFF,OFF,0.0,0.0,0.0,0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF
0.410,0,0.0,0.00,-0.08,0.0,0.677,0.000,0.677,0.00,OFF,OFF,0,0.0,0.0,0.00,2.00,0.00,0.000,76.8,34.3,12.97,2.80,0.0,0.00,1.92,0.0,OFF,OFF,OFF,0,OFF,OFF,0.000,23.32,0.1,0.0,0,0,3.5,0.0,1,OFF,OFF,0.0,0.0,0.0,0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF
0.450,0,0.0,0.00,-0.08,0.0,0.678,0.000,0.678,0.00,OFF,OFF,0,0.0,0.0,0.00,2.00,0.00,0.000,76.8,34.4,12.96,2.80,0.0,0.00,1.92,0.0,OFF,OFF,OFF,0,OFF,OFF,0.000,23.32,0.1,0.0,0,0,3.5,0.0,1,OFF,OFF,0.0,0.0,0.0,0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF
