TIME,RPM,TPS,Ponto_de_ignição,MAP,Posição_do_acelerador,Sonda_Geral,Alvo_do_malha_fechada,Sonda_Malha_Fechada,Correção_do_malha_fechada,2-step,Largada_validada,Marcha,Vazão_da_bancada_A,Fluxo_total_de_combustível,Ângulo_da_Fase_de_Injeção,Pressão_diferencial_de_combustível,Abertura_bicos_A,Tempo_de_Injeção_Banco_A,Temp._do_motor,Temp._do_Ar,Tensão_da_Bateria,Dwell_de_ignição,Eletroventilador_1_-_Enriquecimento,Pressão_de_Óleo,Pressão_de_Combustível,Nível_de_combustível,Partida_do_motor,Lenta,Primeiro_pulso_de_partida,Corte_-_Modo_de_Segurança,Sinal_de_sincronia_do_motor,Corte_na_desaceleração_(cutoff),Injeção_rápida_e_de_decaimento,Consumo_total,Consumo_medio,Consumo_instantâneo,Potência_estimada,Torque_estimado,Distância_total,Autonomia,Ajuste_ativo,Eletroventilador_1,Bomba_Combustível,Velocidade_de_tração,Velocidade_de_referência,Controle_de_tração_-_Slip,Controle_de_tração_-_Slip_rate,Delta_TPS,2-step_-_Botão,Injeção_rápida,Injeção_de_decaimento,Cutoff_de_injeção,Blip/Punta_taco,Controle_de_lenta,Injeção_pós_partida
0.010,1349,0.0,14.00,-0.14,0.0,1.086,0.000,1.089,0.00,OFF,OFF,0,4.1,4.1,390.49,3.11,4.20,3.770,70.3,29.7,12.87,2.80,0.0,0.99,2.97,0.0,OFF,ON,OFF,0,ON,OFF,0.000,18.20,0.1,0.0,8,43,3.5,0.0,1,OFF,ON,0.0,0.0,0.0,0,0.0,OFF,OFF,OFF,OFF,OFF,ON,ON
0.050,1437,0.0,14.00,-0.15,0.0,1.093,0.000,1.090,0.00,OFF,OFF,0,4.4,4.4,384.87,3.14,4.46,3.761,70.2,29.6,12.94,2.80,0.0,1.11,2.99,0.0,OFF,ON,OFF,0,ON,OFF,0.000,18.20,0.1,0.0,9,43,3.5,0.0,1,OFF,ON,0.0,0.0,0.0,0,0.0,OFF,OFF,OFF,OFF,OFF,ON,ON
0.090,1510,0.0,14.00,-0.15,0.0,1.087,0.000,1.091,0.00,OFF,OFF,0,4.4,4.4,383.97,3.13,4.51,3.760,70.3,29.6,12.95,2.80,0.0,1.15,2.98,0.0,OFF,ON,OFF,0,ON,OFF,0.000,18.20,0.1,0.0,9,43,3.5,0.0,1,OFF,ON,0.0,0.0,0.0,0,0.0,OFF,OFF,OFF,OFF,OFF,ON,ON
0.130,1510,0.0,14.00,-0.15,0.0,1.088,0.000,1.088,0.00,OFF,OFF,0,4.7,4.7,379.86,3.14,4.79,3.760,70.3,29.6,12.94,2.80,0.0,1.12,2.98,0.0,OFF,ON,OFF,0,ON,OFF,0.000,18.20,0.1,0.0,9,44,3.5,0.0,1,OFF,ON,0.0,0.0,0.0,0,0.0,OFF,OFF,OFF,OFF,OFF,ON,ON
0.170,1456,0.0,14.00,-0.15,0.0,1.088,0.000,1.089,0.00,OFF,OFF,0,4.4,4.4,384.12,3.13,4.51,3.760,70.2,29.6,12.95,2.80,0.0,1.14,2.98,0.0,OFF,ON,OFF,0,ON,OFF,0.000,18.20,0.1,0.0,9,43,3.5,0.0,1,OFF,ON,0.0,0.0,0.0,0,0.0,OFF,OFF,OFF,OFF,OFF,ON,ON
0.210,1531,0.0,14.00,-0.15,0.0,1.091,0.000,1.090,0.00,OFF,OFF,0,4.7,4.7,379.17,3.14,4.80,3.760,70.2,29.6,12.98,2.80,0.0,1.21,2.99,0.0,OFF,ON,OFF,0,ON,OFF,0.000,18.20,0.1,0.0,9,44,3.5,0.0,1,OFF,ON,0.0,0.0,0.0,0,0.0,OFF,OFF,OFF,OFF,OFF,ON,ON
0.250,1540,0.0,14.00,-0.15,0.0,1.093,0.000,1.090,0.00,OFF,OFF,0,4.8,4.8,377.34,3.12,4.88,3.769,70.3,29.5,12.91,2.80,0.0,1.12,2.97,0.0,OFF,ON,OFF,0,ON,OFF,0.000,18.20,0.1,0.0,9,44,3.5,0.0,1,OFF,ON,0.0,0.0,0.0,0,0.0,OFF,OFF,OFF,OFF,OFF,ON,ON
0.290,1387,0.0,14.00,-0.16,0.0,1.099,0.000,1.097,0.00,OFF,OFF,0,4.3,4.3,388.02,3.14,4.40,3.770,70.3,29.5,12.88,2.80,0.0,1.01,2.98,0.0,OFF,ON,OFF,0,ON,OFF,0.000,18.20,0.1,0.0,8,44,3.5,0.0,1,OFF,ON,0.0,0.0,0.0,0,0.0,OFF,OFF,OFF,OFF,OFF,ON,ON
0.330,1405,0.0,14.00,-0.16,0.0,1.104,0.000,1.101,0.00,OFF,OFF,0,4.3,4.3,386.98,3.13,4.42,3.761,70.3,29.5,12.95,2.80,0.0,1.11,2.98,0.0,OFF,ON,OFF,0,ON,OFF,0.000,18.20,0.1,0.0,8,44,3.5,0.0,1,OFF,ON,0.0,0.0,0.0,0,0.0,OFF,OFF,OFF,OFF,OFF,ON,ON
0.370,1632,0.0,14.00,-0.16,0.0,1.101,0.000,1.102,0.00,OFF,OFF,0,5.0,5.0,372.44,3.14,5.09,3.760,70.3,29.5,12.99,2.80,0.0,1.29,2.98,0.0,OFF,ON,OFF,0,ON,OFF,0.000,18.20,0.1,0.0,9,44,3.5,0.0,1,OFF,ON,0.0,0.0,0.0,0,0.0,OFF,OFF,OFF,OFF,OFF,ON,ON
